tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Mayakoba Golf Classic presented by UNIFIN,,,1.0,-4.0,-2.0,-8.0,-6.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,2.0,-4.0,-3.0,-4.0,-8.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,3.0,-1.0,-4.0,-8.0,-4.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,4.0,-5.0,-4.0,-6.0,-2.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,5.0,-2.0,-1.0,-5.0,-8.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,6.0,-1.0,-2.0,-6.0,-7.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,7.0,,-6.0,-5.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,8.0,-4.0,-2.0,-4.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,9.0,-4.0,-2.0,-4.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,10.0,-4.0,-5.0,-2.0,-4.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,11.0,-5.0,-8.0,-3.0,1.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,12.0,2.0,-4.0,-6.0,-6.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,13.0,-2.0,-2.0,-4.0,-6.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,14.0,-1.0,,-8.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,15.0,1.0,-4.0,-6.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,16.0,1.0,-4.0,-9.0,-2.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,17.0,,-5.0,-3.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,18.0,-2.0,-1.0,-6.0,-4.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,19.0,-1.0,-5.0,-6.0,-1.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,20.0,-1.0,-4.0,-1.0,-6.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,21.0,-2.0,-1.0,-4.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,22.0,-3.0,-4.0,-3.0,-2.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,23.0,1.0,-2.0,-4.0,-6.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,24.0,-2.0,-1.0,-4.0,-4.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,25.0,,-5.0,-2.0,-4.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,26.0,-1.0,-4.0,-3.0,-3.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,27.0,-3.0,-1.0,-5.0,-2.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,28.0,-5.0,-1.0,-4.0,-1.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,29.0,-6.0,-2.0,-3.0,,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,30.0,-3.0,-3.0,1.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,31.0,-1.0,-2.0,-5.0,-2.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,32.0,-2.0,,,-7.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,33.0,1.0,-3.0,,-7.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,34.0,-2.0,1.0,-3.0,-5.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,35.0,3.0,-6.0,-5.0,-1.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
Mayakoba Golf Classic presented by UNIFIN,,,36.0,-1.0,-5.0,-2.0,-1.0,,,2021,Mayakoba Golf Classic presented by UNIFIN,,
