tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Genesis Invitational,,,1.0,2.0,-6.0,-2.0,-6.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,2.0,3.0,-2.0,-4.0,-8.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,3.0,-2.0,-5.0,4.0,-6.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,4.0,-3.0,-1.0,-4.0,-1.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,5.0,4.0,-3.0,-5.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,6.0,2.0,-2.0,-4.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,7.0,3.0,-4.0,-3.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,8.0,-4.0,-2.0,-1.0,-1.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,9.0,3.0,-5.0,1.0,-5.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,10.0,2.0,-1.0,-3.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,11.0,1.0,-1.0,-3.0,-3.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,12.0,3.0,-1.0,-2.0,-5.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,13.0,-1.0,-1.0,2.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,14.0,2.0,,-4.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,15.0,-1.0,,-1.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,16.0,-2.0,-6.0,4.0,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,17.0,1.0,,1.0,-5.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,18.0,,4.0,-3.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,19.0,4.0,-1.0,-2.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,20.0,2.0,-2.0,1.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,21.0,-1.0,-1.0,2.0,-3.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,22.0,-1.0,-2.0,2.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,23.0,,-5.0,2.0,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,24.0,,2.0,1.0,-5.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,25.0,2.0,1.0,-1.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,26.0,5.0,-4.0,1.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,27.0,-1.0,2.0,,-3.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,28.0,2.0,-2.0,,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,29.0,-3.0,1.0,2.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,30.0,3.0,-1.0,-3.0,-1.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,31.0,2.0,2.0,,-5.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,32.0,-2.0,,2.0,-1.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,33.0,,-1.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,34.0,2.0,,,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,35.0,4.0,-3.0,1.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,36.0,-1.0,2.0,-4.0,3.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,37.0,2.0,-2.0,3.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,38.0,,-2.0,3.0,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,39.0,1.0,1.0,2.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,40.0,3.0,-1.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,41.0,,-1.0,3.0,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,42.0,4.0,-1.0,-3.0,2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,43.0,5.0,-3.0,-2.0,2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,44.0,7.0,-3.0,3.0,-4.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,45.0,2.0,1.0,2.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,46.0,3.0,-2.0,2.0,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,47.0,1.0,,1.0,1.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,48.0,-1.0,5.0,2.0,-2.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,49.0,2.0,-2.0,2.0,3.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,50.0,2.0,2.0,3.0,-1.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,51.0,4.0,,2.0,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,52.0,2.0,1.0,2.0,3.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,53.0,4.0,-1.0,3.0,3.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,54.0,5.0,-1.0,1.0,7.0,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,55.0,6.0,-1.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,56.0,6.0,-1.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,57.0,3.0,2.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,58.0,3.0,2.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,59.0,2.0,3.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,60.0,1.0,4.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,61.0,6.0,,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,62.0,4.0,2.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,63.0,7.0,,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,64.0,5.0,2.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,65.0,4.0,3.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,66.0,4.0,3.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,67.0,4.0,3.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,68.0,3.0,5.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,69.0,11.0,-1.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,70.0,6.0,4.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,71.0,3.0,7.0,,,,,2025,The Genesis Invitational,,
The Genesis Invitational,,,72.0,10.0,5.0,,,,,2025,The Genesis Invitational,,
