tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Quicken Loans National,,,1.0,,,-3.0,-4.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,2.0,1.0,-1.0,-3.0,-4.0,,,2017,Quicken Loans National,1.0,
Quicken Loans National,,,3.0,,2.0,-2.0,-5.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,4.0,-3.0,2.0,-1.0,-3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,5.0,-2.0,3.0,,-5.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,6.0,-4.0,2.0,2.0,-4.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,7.0,1.0,-2.0,,-3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,8.0,-4.0,1.0,1.0,-2.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,9.0,-2.0,1.0,-3.0,,,,2017,Quicken Loans National,,
Quicken Loans National,,,10.0,-4.0,-1.0,1.0,,,,2017,Quicken Loans National,,
Quicken Loans National,,,11.0,,,-5.0,1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,12.0,-5.0,-5.0,3.0,3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,13.0,2.0,,1.0,-6.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,14.0,-1.0,4.0,-3.0,-3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,15.0,-1.0,,1.0,-3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,16.0,-3.0,-5.0,4.0,1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,17.0,-3.0,1.0,4.0,-4.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,18.0,-3.0,2.0,2.0,-3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,19.0,-2.0,2.0,-1.0,-1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,20.0,-2.0,-2.0,3.0,-1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,21.0,-4.0,-2.0,,4.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,22.0,5.0,-1.0,-2.0,-3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,23.0,1.0,3.0,-4.0,-1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,24.0,,-2.0,2.0,-1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,25.0,,-3.0,2.0,,,,2017,Quicken Loans National,,
Quicken Loans National,,,26.0,,3.0,,-3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,27.0,2.0,-4.0,4.0,-2.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,28.0,2.0,-2.0,1.0,-1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,29.0,-1.0,5.0,-1.0,-2.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,30.0,,3.0,,-2.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,31.0,1.0,1.0,-1.0,,,,2017,Quicken Loans National,,
Quicken Loans National,,,32.0,,4.0,-4.0,1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,33.0,-3.0,4.0,-1.0,1.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,34.0,-4.0,,3.0,2.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,35.0,1.0,3.0,,-2.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,36.0,-1.0,-1.0,1.0,3.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,37.0,,-1.0,-1.0,4.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,38.0,3.0,,2.0,-2.0,,,2017,Quicken Loans National,,
Quicken Loans National,,,39.0,2.0,1.0,,,,,2017,Quicken Loans National,,
