tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Arnold Palmer Invitational presented by MasterCard,,,1.0,-4.0,-6.0,-3.0,-6.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,2.0,-4.0,-6.0,-6.0,-2.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,3.0,-1.0,-7.0,-5.0,-4.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,4.0,-6.0,-7.0,-1.0,-1.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,5.0,-4.0,-5.0,-4.0,-1.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,6.0,-2.0,-1.0,-7.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,7.0,-5.0,-2.0,-3.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,8.0,-5.0,-1.0,-7.0,,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,9.0,-1.0,-1.0,-4.0,-6.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,10.0,-3.0,-4.0,-2.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,11.0,3.0,-6.0,-4.0,-4.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,12.0,-2.0,-6.0,-1.0,-2.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,13.0,-1.0,-5.0,,-4.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,14.0,1.0,-4.0,-4.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,15.0,-3.0,-5.0,1.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,16.0,-4.0,2.0,-6.0,-2.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,17.0,-3.0,-1.0,-1.0,-4.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,18.0,-2.0,-1.0,-3.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,19.0,-2.0,-2.0,-5.0,,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,20.0,,-8.0,-1.0,,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,21.0,-2.0,,-2.0,-4.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,22.0,-1.0,-3.0,-1.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,23.0,1.0,-5.0,-1.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,24.0,-2.0,-1.0,-3.0,-2.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,25.0,-1.0,-2.0,-3.0,-2.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,26.0,-1.0,-4.0,-2.0,-1.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,27.0,-3.0,,-5.0,,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,28.0,-5.0,-2.0,-1.0,,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,29.0,-1.0,-1.0,-2.0,-3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,30.0,-1.0,-2.0,-2.0,-2.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,31.0,2.0,-4.0,-5.0,,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,32.0,-2.0,-1.0,-5.0,1.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
Arnold Palmer Invitational presented by MasterCard,,,33.0,-4.0,-6.0,,3.0,,,2015,Arnold Palmer Invitational presented by MasterCard,,
